epoch,accuracy,loss,val_accuracy,val_loss
0,0.16904762387275696,1.942408561706543,0.16785714030265808,1.9404418468475342
1,0.18392856419086456,1.9302221536636353,0.18095238506793976,1.9265602827072144
2,0.22380952537059784,1.9046882390975952,0.18809524178504944,1.9317395687103271
3,0.2532738149166107,1.8596303462982178,0.2726190388202667,1.8235315084457397
4,0.287202388048172,1.7845146656036377,0.2571428716182709,1.8386608362197876
5,0.3142857253551483,1.7488117218017578,0.28333333134651184,1.7941629886627197
6,0.35178571939468384,1.6877532005310059,0.3380952477455139,1.6907914876937866
7,0.36250001192092896,1.648613452911377,0.34166666865348816,1.629341721534729
8,0.37708333134651184,1.5930372476577759,0.3928571343421936,1.6194592714309692
9,0.40565475821495056,1.5326248407363892,0.3499999940395355,1.651330590248108
10,0.42797619104385376,1.4966466426849365,0.44999998807907104,1.4481806755065918
11,0.44999998807907104,1.4350358247756958,0.4392857253551483,1.5401737689971924
12,0.4642857015132904,1.391857385635376,0.47857141494750977,1.4375553131103516
13,0.47857141494750977,1.3674029111862183,0.41904762387275696,1.4949170351028442
14,0.4863095283508301,1.3454941511154175,0.46666666865348816,1.3838800191879272
15,0.5139880776405334,1.2833648920059204,0.4761904776096344,1.3500053882598877
16,0.5020833611488342,1.2718381881713867,0.4833333194255829,1.3738481998443604
17,0.5309523940086365,1.24681556224823,0.4702380895614624,1.3371796607971191
18,0.5327380895614624,1.2257670164108276,0.5357142686843872,1.2026537656784058
19,0.5410714149475098,1.1877877712249756,0.523809552192688,1.2458586692810059
20,0.5669642686843872,1.1343965530395508,0.49642857909202576,1.2741422653198242
21,0.5657737851142883,1.1425862312316895,0.5976190567016602,1.0880142450332642
22,0.5770833492279053,1.1129487752914429,0.5547618865966797,1.1288728713989258
23,0.5854166746139526,1.0949674844741821,0.5428571701049805,1.2208172082901
24,0.601190447807312,1.063360333442688,0.5785714387893677,1.0832747220993042
25,0.6119047403335571,1.0412944555282593,0.5297619104385376,1.239033579826355
26,0.6208333373069763,1.0263700485229492,0.5880952477455139,1.0457286834716797
27,0.6178571581840515,1.0339397192001343,0.5964285731315613,1.0631794929504395
28,0.6220238208770752,1.0068228244781494,0.6190476417541504,1.0170936584472656
29,0.6291666626930237,0.9965906143188477,0.6095238327980042,1.0037504434585571
30,0.6208333373069763,1.0137702226638794,0.6142857074737549,1.0421985387802124
31,0.6416666507720947,0.9482335448265076,0.5797619223594666,1.100687026977539
32,0.6440476179122925,0.9353657364845276,0.6404761672019958,0.95987868309021
33,0.6497023701667786,0.9331585168838501,0.6285714507102966,0.9496012330055237
34,0.6577380895614624,0.9262068867683411,0.6047618985176086,1.0761200189590454
35,0.6550595164299011,0.9222574234008789,0.6321428418159485,0.9883404970169067
36,0.675000011920929,0.8792740702629089,0.6321428418159485,0.9802164435386658
37,0.6586309671401978,0.8877731561660767,0.6273809671401978,0.9799379706382751
38,0.6758928298950195,0.8634982109069824,0.6107142567634583,1.027893304824829
39,0.6705357432365417,0.8800978064537048,0.6226190328598022,1.036476492881775
40,0.6931547522544861,0.8416441679000854,0.6404761672019958,0.9624302387237549
41,0.6854166388511658,0.826953113079071,0.6642857193946838,0.8813508749008179
42,0.6735119223594666,0.8444548845291138,0.6642857193946838,0.9044656157493591
43,0.6821428537368774,0.8313513398170471,0.6464285850524902,0.9149621725082397
44,0.699404776096344,0.7992736101150513,0.6404761672019958,0.9256056547164917
45,0.6889880895614624,0.8008084893226624,0.6523809432983398,0.8741233348846436
46,0.7020833492279053,0.7937944531440735,0.6857143044471741,0.8424662947654724
47,0.7071428298950195,0.7743031978607178,0.651190459728241,0.9118391275405884
48,0.7139880657196045,0.7534087300300598,0.6892856955528259,0.7741892337799072
49,0.7080357074737549,0.7750353217124939,0.6678571701049805,0.8744998574256897
50,0.7199404835700989,0.7427009344100952,0.688095211982727,0.792893648147583
51,0.7148809432983398,0.7676534652709961,0.6988095045089722,0.8072340488433838
52,0.7169643044471741,0.7434269785881042,0.6059523820877075,1.1191996335983276
53,0.7122023701667786,0.7400887608528137,0.6273809671401978,1.0322233438491821
54,0.726190447807312,0.7228611707687378,0.7321428656578064,0.7436494827270508
55,0.7315475940704346,0.7068309187889099,0.711904764175415,0.743802547454834
56,0.7297618985176086,0.7149060368537903,0.7130952477455139,0.7683489322662354
57,0.7321428656578064,0.6922396421432495,0.7321428656578064,0.7267232537269592
58,0.7276785969734192,0.7035626173019409,0.7476190328598022,0.7057352662086487
59,0.7318452596664429,0.6844326257705688,0.6773809790611267,0.831479012966156
60,0.7428571581840515,0.6861941814422607,0.686904788017273,0.775305449962616
61,0.7541666626930237,0.6522499918937683,0.7250000238418579,0.766563355922699
62,0.7497023940086365,0.6596493124961853,0.6857143044471741,0.8266982436180115
63,0.7511904835700989,0.6601276397705078,0.7333333492279053,0.732887864112854
64,0.7592262029647827,0.6446428298950195,0.7130952477455139,0.7297544479370117
65,0.756845235824585,0.6632152199745178,0.7428571581840515,0.7079778909683228
66,0.7604166865348816,0.6469408273696899,0.7333333492279053,0.7111989855766296
67,0.7535714507102966,0.6580271124839783,0.6952381134033203,0.7169210314750671
68,0.756845235824585,0.6639950275421143,0.7511904835700989,0.6853618621826172
69,0.7723214030265808,0.605217695236206,0.738095223903656,0.6912580132484436
70,0.7559523582458496,0.6297982931137085,0.7511904835700989,0.6567385196685791
71,0.7767857313156128,0.6007285714149475,0.7488095164299011,0.6985983848571777
72,0.7747023701667786,0.594598114490509,0.7535714507102966,0.6399844288825989
73,0.7580357193946838,0.6274758577346802,0.7535714507102966,0.6461461186408997
74,0.7720237970352173,0.5845807194709778,0.7273809313774109,0.6983180642127991
